Bacterial_Strains;Treatement;Fungal_Strains;Repeat;Bloc;Fruit;Diametre1;Diametre2;Depth
DHT2;Untreated;Control;1;B1;1;0;0;0
DHT2;Untreated;Control;1;B1;2;0;0;0
DHT2;Untreated;Control;1;B1;3;0;0;0
DHT2;Treated;S2;1;B1;1;2;1,1;0
DHT2;Treated;S2;1;B1;2;3,7;1,5;1
DHT2;Treated;S2;1;B1;3;1,7;1,5;0
DHT2;Treated;S5;1;B1;1;1,5;2;0
DHT2;Treated;S5;1;B1;2;1,3;1,4;0
DHT2;Treated;S5;1;B1;3;1,4;1,7;0
H2Fl2;Untreated;Control;1;B1;1;0;0;0
H2Fl2;Untreated;Control;1;B1;2;0;0;0
H2Fl2;Untreated;Control;1;B1;3;0;0;0
H2Fl2;Treated;S2;1;B1;1;1,5;2;0
H2Fl2;Treated;S2;1;B1;2;1,7;2,7;0
H2Fl2;Treated;S2;1;B1;3;1,2;1,5;0
H2Fl2;Treated;S5;1;B1;1;1,2;2,5;0
H2Fl2;Treated;S5;1;B1;2;2;1,5;1
H2Fl2;Treated;S5;1;B1;3;1,1;1,1;0
BFl1;Untreated;Control;1;B1;1;0;0;0
BFl1;Untreated;Control;1;B1;2;0;0;0
BFl1;Untreated;Control;1;B1;3;0;0;0
BFl1;Treated;S2;1;B1;1;1,5;1,6;0
BFl1;Treated;S2;1;B1;2;1,3;1,2;0
BFl1;Treated;S2;1;B1;3;1;1,5;0
BFl1;Treated;S5;1;B1;1;1,1;1,5;0
BFl1;Treated;S5;1;B1;2;2;2,1;1
BFl1;Treated;S5;1;B1;3;1,5;1,8;0
TR1;Untreated;Control;1;B1;1;0;0;0
TR1;Untreated;Control;1;B1;2;0;0;0
TR1;Untreated;Control;1;B1;3;0;0;0
TR1;Treated;S2;1;B1;1;1,8;1,2;0
TR1;Treated;S2;1;B1;2;1,5;2,3;0
TR1;Treated;S2;1;B1;3;1,3;2;1,2
TR1;Treated;S5;1;B1;1;1,8;1,7;0
TR1;Treated;S5;1;B1;2;1,5;1,1;0
TR1;Treated;S5;1;B1;3;2;1,5;0
H1F1;Untreated;Control;1;B1;1;0;0;0
H1F1;Untreated;Control;1;B1;2;0;0;0
H1F1;Untreated;Control;1;B1;3;0;0;0
H1F1;Treated;S2;1;B1;1;3,5;1,9;0
H1F1;Treated;S2;1;B1;2;1,5;1,5;0
H1F1;Treated;S2;1;B1;3;1,2;1,5;0
H1F1;Treated;S5;1;B1;1;1,3;1,5;1
H1F1;Treated;S5;1;B1;2;1,7;2;1
H1F1;Treated;S5;1;B1;3;1,5;1,5;0,5
Without_Bacteria;Untreated;Control;1;B1;1;0;0;0
Without_Bacteria;Untreated;Control;1;B1;2;0;0;0
Without_Bacteria;Untreated;Control;1;B1;3;0;0;0
Without_Bacteria;Treated;S2;1;B1;1;1,7;2;1
Without_Bacteria;Treated;S2;1;B1;2;1,3;1,5;0
Without_Bacteria;Treated;S2;1;B1;3;1,5;2;1,1
Without_Bacteria;Treated;S5;1;B1;1;1,5;1,5;1,2
Without_Bacteria;Treated;S5;1;B1;2;1,7;2;0
Without_Bacteria;Treated;S5;1;B1;3;2;1,3;0
DHT2;Untreated;Control;1;B2;1;0;0;0
DHT2;Untreated;Control;1;B2;2;0;0;0
DHT2;Untreated;Control;1;B2;3;0;0;0
DHT2;Treated;S2;1;B2;1;1;1,5;0
DHT2;Treated;S2;1;B2;2;1,5;3;0
DHT2;Treated;S2;1;B2;3;2,3;1;0,5
DHT2;Treated;S5;1;B2;1;1,5;1,7;0
DHT2;Treated;S5;1;B2;2;2;1,5;0
DHT2;Treated;S5;1;B2;3;2,7;1,8;0
H2Fl2;Untreated;Control;1;B2;1;0;0;0
H2Fl2;Untreated;Control;1;B2;2;0;0;0
H2Fl2;Untreated;Control;1;B2;3;0;0;0
H2Fl2;Treated;S2;1;B2;1;1,3;1,5;0
H2Fl2;Treated;S2;1;B2;2;1,5;1,7;0
H2Fl2;Treated;S2;1;B2;3;1,5;2,1;0
H2Fl2;Treated;S5;1;B2;1;1,1;1;0
H2Fl2;Treated;S5;1;B2;2;3,3;2,1;0,5
H2Fl2;Treated;S5;1;B2;3;1,5;1;0
BFl1;Untreated;Control;1;B2;1;0;0;0
BFl1;Untreated;Control;1;B2;2;0;0;0
BFl1;Untreated;Control;1;B2;3;0;0;0
BFl1;Treated;S2;1;B2;1;2;2,5;0
BFl1;Treated;S2;1;B2;2;2,5;2,3;0
BFl1;Treated;S2;1;B2;3;1,7;1,8;1,2
BFl1;Treated;S5;1;B2;1;1,7;1;0
BFl1;Treated;S5;1;B2;2;2,3;1,7;0
BFl1;Treated;S5;1;B2;3;2,1;1,3;0
TR1;Untreated;Control;1;B2;1;0;0;0
TR1;Untreated;Control;1;B2;2;0;0;0
TR1;Untreated;Control;1;B2;3;0;0;0
TR1;Treated;S2;1;B2;1;1,1;1;0
TR1;Treated;S2;1;B2;2;2;1,8;0
TR1;Treated;S2;1;B2;3;1;1;0
TR1;Treated;S5;1;B2;1;1,5;1,3;0
TR1;Treated;S5;1;B2;2;1,2;1,3;0
TR1;Treated;S5;1;B2;3;1,1;1,1;0
H1F1;Untreated;Control;1;B2;1;0;0;0
H1F1;Untreated;Control;1;B2;2;0;0;0
H1F1;Untreated;Control;1;B2;3;0;0;0
H1F1;Treated;S2;1;B2;1;0;0;0
H1F1;Treated;S2;1;B2;2;2,2;1,8;1
H1F1;Treated;S2;1;B2;3;3,1;2,7;0
H1F1;Treated;S5;1;B2;1;3,5;1,8;0
H1F1;Treated;S5;1;B2;2;1,1;1,2;0
H1F1;Treated;S5;1;B2;3;2,8;1,7;0
Without_Bacteria;Untreated;Control;1;B2;1;0;0;0
Without_Bacteria;Untreated;Control;1;B2;2;0;0;0
Without_Bacteria;Untreated;Control;1;B2;3;0;0;0
Without_Bacteria;Treated;S2;1;B2;1;2;1,8;0
Without_Bacteria;Treated;S2;1;B2;2;3,2;1,8;0
Without_Bacteria;Treated;S2;1;B2;3;3;3,7;0
Without_Bacteria;Treated;S5;1;B2;1;2,3;1,5;1,1
Without_Bacteria;Treated;S5;1;B2;2;2;2,2;1,1
Without_Bacteria;Treated;S5;1;B2;3;4,5;1,8;0
DHT2;Untreated;Control;2;B1;1;0;0;0
DHT2;Untreated;Control;2;B1;2;0;0;0
DHT2;Untreated;Control;2;B1;3;0;0;0
DHT2;Treated;S2;2;B1;1;2,7;1,5;0
DHT2;Treated;S2;2;B1;2;1,3;1,4;0
DHT2;Treated;S2;2;B1;3;1,4;1,4;0
DHT2;Treated;S5;2;B1;1;1,1;1,1;0
DHT2;Treated;S5;2;B1;2;1,2;1,1;0
DHT2;Treated;S5;2;B1;3;0,9;1;0
H2Fl2;Untreated;Control;2;B1;1;0;0;0
H2Fl2;Untreated;Control;2;B1;2;0;0;0
H2Fl2;Untreated;Control;2;B1;3;0;0;0
H2Fl2;Treated;S2;2;B1;1;3,4;2,5;0
H2Fl2;Treated;S2;2;B1;2;1,3;1,6;0
H2Fl2;Treated;S2;2;B1;3;2,3;2,5;0
H2Fl2;Treated;S5;2;B1;1;1,7;1,6;0
H2Fl2;Treated;S5;2;B1;2;1;0,9;0
H2Fl2;Treated;S5;2;B1;3;1,5;1,3;0
BFl1;Untreated;Control;2;B1;1;0;0;0
BFl1;Untreated;Control;2;B1;2;0;0;0
BFl1;Untreated;Control;2;B1;3;0;0;0
BFl1;Treated;S2;2;B1;1;1,7;1,7;0
BFl1;Treated;S2;2;B1;2;1,6;1,7;0
BFl1;Treated;S2;2;B1;3;1,5;1,6;0
BFl1;Treated;S5;2;B1;1;1,1;1;0
BFl1;Treated;S5;2;B1;2;1,1;1,9;0
BFl1;Treated;S5;2;B1;3;1,4;1,5;0
TR1;Untreated;Control;2;B1;1;0;0;0
TR1;Untreated;Control;2;B1;2;0;0;0
TR1;Untreated;Control;2;B1;3;0;0;0
TR1;Treated;S2;2;B1;1;1,3;1,3;0
TR1;Treated;S2;2;B1;2;1,3;1,2;0
TR1;Treated;S2;2;B1;3;1,7;1,2;0
TR1;Treated;S5;2;B1;1;0;0;0
TR1;Treated;S5;2;B1;2;0;0;0
TR1;Treated;S5;2;B1;3;0;0;0
H1F1;Untreated;Control;2;B1;1;0;0;0
H1F1;Untreated;Control;2;B1;2;0;0;0
H1F1;Untreated;Control;2;B1;3;0;0;0
H1F1;Treated;S2;2;B1;1;2;1,7;0
H1F1;Treated;S2;2;B1;2;1,8;1,3;0
H1F1;Treated;S2;2;B1;3;1,7;1,6;0
H1F1;Treated;S5;2;B1;1;1,6;1,2;0
H1F1;Treated;S5;2;B1;2;1,3;1,5;0
H1F1;Treated;S5;2;B1;3;1,5;1;0
Without_Bacteria;Untreated;Control;2;B1;1;0;0;0
Without_Bacteria;Untreated;Control;2;B1;2;0;0;0
Without_Bacteria;Untreated;Control;2;B1;3;0;0;0
Without_Bacteria;Treated;S2;2;B1;1;2;1,5;0
Without_Bacteria;Treated;S2;2;B1;2;1,5;1,5;0
Without_Bacteria;Treated;S2;2;B1;3;1,3;1,5;0
Without_Bacteria;Treated;S5;2;B1;1;1,4;1,2;0
Without_Bacteria;Treated;S5;2;B1;2;1,7;1,3;0
Without_Bacteria;Treated;S5;2;B1;3;2,7;1,7;0
DHT2;Untreated;Control;2;B2;1;0;0;0
DHT2;Untreated;Control;2;B2;2;0;0;0
DHT2;Untreated;Control;2;B2;3;0;0;0
DHT2;Treated;S2;2;B2;1;2,5;1,8;1,5
DHT2;Treated;S2;2;B2;2;2,5;1,5;1,3
DHT2;Treated;S2;2;B2;3;1;1,4;1,2
DHT2;Treated;S5;2;B2;1;1,5;2;1,3
DHT2;Treated;S5;2;B2;2;1,5;1,3;1,5
DHT2;Treated;S5;2;B2;3;1,2;1,3;1,3
H2Fl2;Untreated;Control;2;B2;1;0;0;0
H2Fl2;Untreated;Control;2;B2;2;0;0;0
H2Fl2;Untreated;Control;2;B2;3;0;0;0
H2Fl2;Treated;S2;2;B2;1;2;2,5;1,3
H2Fl2;Treated;S2;2;B2;2;1,4;1,3;1,2
H2Fl2;Treated;S2;2;B2;3;1,5;1,7;0
H2Fl2;Treated;S5;2;B2;1;1,4;2,3;1,3
H2Fl2;Treated;S5;2;B2;2;1,5;1,3;1
H2Fl2;Treated;S5;2;B2;3;1,3;1,3;0,9
BFl1;Untreated;Control;2;B2;1;0;0;0
BFl1;Untreated;Control;2;B2;2;0;0;0
BFl1;Untreated;Control;2;B2;3;0;0;0
BFl1;Treated;S2;2;B2;1;2;1,7;0
BFl1;Treated;S2;2;B2;2;1,5;1,7;0
BFl1;Treated;S2;2;B2;3;2;1,8;0
BFl1;Treated;S5;2;B2;1;1,3;1,3;0
BFl1;Treated;S5;2;B2;2;1,3;1,7;0
BFl1;Treated;S5;2;B2;3;2,5;1,1;0
TR1;Untreated;Control;2;B2;1;0;0;0
TR1;Untreated;Control;2;B2;2;0;0;0
TR1;Untreated;Control;2;B2;3;0;0;0
TR1;Treated;S2;2;B2;1;2;1,5;1,5
TR1;Treated;S2;2;B2;2;1,5;1,6;1,4
TR1;Treated;S2;2;B2;3;1,7;1,5;1,1
TR1;Treated;S5;2;B2;1;1;0,9;0
TR1;Treated;S5;2;B2;2;1,5;1,5;0
TR1;Treated;S5;2;B2;3;1,5;1,4;1,1
H1F1;Untreated;Control;2;B2;1;0;0;0
H1F1;Untreated;Control;2;B2;2;0;0;0
H1F1;Untreated;Control;2;B2;3;0;0;0
H1F1;Treated;S2;2;B2;1;1,5;1,3;0
H1F1;Treated;S2;2;B2;2;1,6;1,4;0
H1F1;Treated;S2;2;B2;3;3,5;1,5;1,1
H1F1;Treated;S5;2;B2;1;1,5;1,5;1,2
H1F1;Treated;S5;2;B2;2;1,7;1,8;1,3
H1F1;Treated;S5;2;B2;3;1,3;2,1;1,3
Without_Bacteria;Untreated;Control;2;B2;1;0;0;0
Without_Bacteria;Untreated;Control;2;B2;2;0;0;0
Without_Bacteria;Untreated;Control;2;B2;3;0;0;0
Without_Bacteria;Treated;S2;2;B2;1;3;3,1;1
Without_Bacteria;Treated;S2;2;B2;2;2,3;2,5;0,9
Without_Bacteria;Treated;S2;2;B2;3;1,8;2;0
Without_Bacteria;Treated;S5;2;B2;1;2,4;1,5;1,2
Without_Bacteria;Treated;S5;2;B2;2;2,3;1,8;1
Without_Bacteria;Treated;S5;2;B2;3;1,5;1,5;1,1
DHT2;Untreated;Control;3;B1;1;0;0;0
DHT2;Untreated;Control;3;B1;2;0;0;0
DHT2;Untreated;Control;3;B1;3;0;0;0
DHT2;Treated;S2;3;B1;1;1;1;0,1
DHT2;Treated;S2;3;B1;2;1;1,4;0,3
DHT2;Treated;S2;3;B1;3;1;1,5;0,4
DHT2;Treated;S5;3;B1;1;1;1;1,2
DHT2;Treated;S5;3;B1;2;1;1;0,3
DHT2;Treated;S5;3;B1;3;1;1,6;0,5
H2Fl2;Untreated;Control;3;B1;1;0;0;0
H2Fl2;Untreated;Control;3;B1;2;0;0;0
H2Fl2;Untreated;Control;3;B1;3;0;0;0
H2Fl2;Treated;S2;3;B1;1;1,5;1,5;0
H2Fl2;Treated;S2;3;B1;2;2;1,8;0,1
H2Fl2;Treated;S2;3;B1;3;1,3;1,2;0,4
H2Fl2;Treated;S5;3;B1;1;1;1,4;0,1
H2Fl2;Treated;S5;3;B1;2;0,5;0,5;0,3
H2Fl2;Treated;S5;3;B1;3;1,2;1,3;0,3
BFl1;Untreated;Control;3;B1;1;0;0;0
BFl1;Untreated;Control;3;B1;2;0;0;0
BFl1;Untreated;Control;3;B1;3;0;0;0
BFl1;Treated;S2;3;B1;1;1,2;1;0
BFl1;Treated;S2;3;B1;2;0,8;1;0,2
BFl1;Treated;S2;3;B1;3;1;1,5;0,2
BFl1;Treated;S5;3;B1;1;0,7;1;0,5
BFl1;Treated;S5;3;B1;2;1;2;0
BFl1;Treated;S5;3;B1;3;1;1;0,5
TR1;Untreated;Control;3;B1;1;0;0;0
TR1;Untreated;Control;3;B1;2;0;0;0
TR1;Untreated;Control;3;B1;3;0;0;0
TR1;Treated;S2;3;B1;1;1;1,5;0,3
TR1;Treated;S2;3;B1;2;1,2;1,5;0,1
TR1;Treated;S2;3;B1;3;1,3;1,5;0,4
TR1;Treated;S5;3;B1;1;1,2;1,4;0,5
TR1;Treated;S5;3;B1;2;1;1,5;0,4
TR1;Treated;S5;3;B1;3;0,8;1,5;0,6
H1F1;Untreated;Control;3;B1;1;0;0;0
H1F1;Untreated;Control;3;B1;2;0;0;0
H1F1;Untreated;Control;3;B1;3;0;0;0
H1F1;Treated;S2;3;B1;1;1,4;1,2;0
H1F1;Treated;S2;3;B1;2;1;1,4;0,2
H1F1;Treated;S2;3;B1;3;1;1;0,4
H1F1;Treated;S5;3;B1;1;2;1,6;0,3
H1F1;Treated;S5;3;B1;2;1,5;1,5;0,3
H1F1;Treated;S5;3;B1;3;1,3;1,5;0,2
Without_Bacteria;Untreated;Control;3;B1;1;0;0;0
Without_Bacteria;Untreated;Control;3;B1;2;0;0;0
Without_Bacteria;Untreated;Control;3;B1;3;0;0;0
Without_Bacteria;Treated;S2;3;B1;1;2;1,5;0,4
Without_Bacteria;Treated;S2;3;B1;2;1,3;1,5;0,2
Without_Bacteria;Treated;S2;3;B1;3;1,4;1,2;0,5
Without_Bacteria;Treated;S5;3;B1;1;1,4;1;0,3
Without_Bacteria;Treated;S5;3;B1;2;1;1,2;0,4
Without_Bacteria;Treated;S5;3;B1;3;1;1,4;0,1
DHT2;Untreated;Control;3;B2;1;0;0;0
DHT2;Untreated;Control;3;B2;2;0;0;0
DHT2;Untreated;Control;3;B2;3;0;0;0
DHT2;Treated;S2;3;B2;1;1,3;1,2;0,4
DHT2;Treated;S2;3;B2;2;1,4;1;0,1
DHT2;Treated;S2;3;B2;3;1,4;1;0,1
DHT2;Treated;S5;3;B2;1;0,8;1;0,3
DHT2;Treated;S5;3;B2;2;1,2;1,4;0,4
DHT2;Treated;S5;3;B2;3;2;0,5;0,1
H2Fl2;Untreated;Control;3;B2;1;0;0;0
H2Fl2;Untreated;Control;3;B2;2;0;0;0
H2Fl2;Untreated;Control;3;B2;3;0;0;0
H2Fl2;Treated;S2;3;B2;1;1,7;1,5;0,6
H2Fl2;Treated;S2;3;B2;2;1,4;1,2;0,3
H2Fl2;Treated;S2;3;B2;3;1,7;1,5;0,1
H2Fl2;Treated;S5;3;B2;1;1;0,8;0,1
H2Fl2;Treated;S5;3;B2;2;0,8;1,1;0,3
H2Fl2;Treated;S5;3;B2;3;1;0,8;0,4
BFl1;Untreated;Control;3;B2;1;0;0;0
BFl1;Untreated;Control;3;B2;2;0;0;0
BFl1;Untreated;Control;3;B2;3;0;0;0
BFl1;Treated;S2;3;B2;1;1,6;1,5;0
BFl1;Treated;S2;3;B2;2;1,8;1,9;0,3
BFl1;Treated;S2;3;B2;3;1,2;1;0,3
BFl1;Treated;S5;3;B2;1;1;1;1
BFl1;Treated;S5;3;B2;2;1,5;1;0,5
BFl1;Treated;S5;3;B2;3;0,7;0,8;0,5
TR1;Untreated;Control;3;B2;1;0;0;0
TR1;Untreated;Control;3;B2;2;0;0;0
TR1;Untreated;Control;3;B2;3;0;0;0
TR1;Treated;S2;3;B2;1;1;1,2;0,2
TR1;Treated;S2;3;B2;2;1,2;1;0,3
TR1;Treated;S2;3;B2;3;1;1;0,1
TR1;Treated;S5;3;B2;1;1,2;1;0,3
TR1;Treated;S5;3;B2;2;1;1;0,4
TR1;Treated;S5;3;B2;3;2;2;0,5
H1F1;Untreated;Control;3;B2;1;0;0;0
H1F1;Untreated;Control;3;B2;2;0;0;0
H1F1;Untreated;Control;3;B2;3;0;0;0
H1F1;Treated;S2;3;B2;1;1,5;1,5;0,3
H1F1;Treated;S2;3;B2;2;1,3;1,8;0,5
H1F1;Treated;S2;3;B2;3;1,9;1,5;0
H1F1;Treated;S5;3;B2;1;1,2;0,9;0,5
H1F1;Treated;S5;3;B2;2;1;0,8;0,4
H1F1;Treated;S5;3;B2;3;1,3;1,4;0,4
Without_Bacteria;Untreated;Control;3;B2;1;0;0;0
Without_Bacteria;Untreated;Control;3;B2;2;0;0;0
Without_Bacteria;Untreated;Control;3;B2;3;0;0;0
Without_Bacteria;Treated;S2;3;B2;1;1;1;1
Without_Bacteria;Treated;S2;3;B2;2;1,5;1;0,1
Without_Bacteria;Treated;S2;3;B2;3;1,8;1;0,1
Without_Bacteria;Treated;S5;3;B2;1;1;1;0,2
Without_Bacteria;Treated;S5;3;B2;2;1,5;1;0,1
Without_Bacteria;Treated;S5;3;B2;3;1;1;0,5
