Genotype;Environ;Group;     yield;MINTF; RADG
G001;SS92a;2;3,289333333;9,7;18,2
G002;SS92a;2;2,922666667;9,7;18,2
G003;SS92a;2;2,728666667;9,7;18,2
G004;SS92a;2;2,460666667;9,7;18,2
G005;SS92a;2;2,848666667;9,7;18,2
G006;SS92a;2;1,782666667;9,7;18,2
G007;SS92a;2;2,509333333;9,7;18,2
G008;SS92a;2;1,053333333;9,7;18,2
G009;SS92a;2;1,345333333;9,7;18,2
G010;SS92a;2;3,298666667;9,7;18,2
G011;SS92a;2;2,323333333;9,7;18,2
G012;SS92a;2;2,374666667;9,7;18,2
G013;SS92a;2;2,752;9,7;18,2
G014;SS92a;2;1,854666667;9,7;18,2
G015;SS92a;2;2,104;9,7;18,2
G016;SS92a;2;0,599333333;9,7;18,2
G017;SS92a;2;1,434666667;9,7;18,2
G018;SS92a;2;1,814;9,7;18,2
G019;SS92a;2;4,046666667;9,7;18,2
G020;SS92a;2;2,502;9,7;18,2
G021;SS92a;2;1,852;9,7;18,2
G022;SS92a;2;2,494;9,7;18,2
G023;SS92a;2;3,322666667;9,7;18,2
G024;SS92a;2;2,024;9,7;18,2
G025;SS92a;2;2,946666667;9,7;18,2
G026;SS92a;2;2,282;9,7;18,2
G027;SS92a;2;1,838666667;9,7;18,2
G028;SS92a;2;3,8;9,7;18,2
G029;SS92a;2;1,807333333;9,7;18,2
G030;SS92a;2;2,43;9,7;18,2
G031;SS92a;2;2,238;9,7;18,2
G032;SS92a;2;3,489333333;9,7;18,2
G033;SS92a;2;1,164666667;9,7;18,2
G034;SS92a;2;3,509333333;9,7;18,2
G035;SS92a;2;1,751333333;9,7;18,2
G036;SS92a;2;3,122;9,7;18,2
G037;SS92a;2;2,746;9,7;18,2
G038;SS92a;2;1,2;9,7;18,2
G039;SS92a;2;3,342666667;9,7;18,2
G040;SS92a;2;2,654;9,7;18,2
G041;SS92a;2;3,267333333;9,7;18,2
G042;SS92a;2;3,338;9,7;18,2
G043;SS92a;2;2,520666667;9,7;18,2
G044;SS92a;2;2,097333333;9,7;18,2
G045;SS92a;2;2,676666667;9,7;18,2
G046;SS92a;2;1,82;9,7;18,2
G047;SS92a;2;2,692666667;9,7;18,2
G048;SS92a;2;2,006;9,7;18,2
G049;SS92a;2;2,644;9,7;18,2
G050;SS92a;2;3,996666667;9,7;18,2
G051;SS92a;2;2,559333333;9,7;18,2
G052;SS92a;2;2,032;9,7;18,2
G053;SS92a;2;2,536666667;9,7;18,2
G054;SS92a;2;1,881333333;9,7;18,2
G055;SS92a;2;3,034666667;9,7;18,2
G056;SS92a;2;3,026;9,7;18,2
G057;SS92a;2;2,095333333;9,7;18,2
G058;SS92a;2;3,885333333;9,7;18,2
G059;SS92a;2;2,378666667;9,7;18,2
G060;SS92a;2;1,818666667;9,7;18,2
G061;SS92a;2;1,862666667;9,7;18,2
G062;SS92a;2;2,564666667;9,7;18,2
G063;SS92a;2;3,281333333;9,7;18,2
G064;SS92a;2;2,226666667;9,7;18,2
G065;SS92a;2;2,2;9,7;18,2
G066;SS92a;2;2,369333333;9,7;18,2
G067;SS92a;2;3,553333333;9,7;18,2
G068;SS92a;2;4,192666667;9,7;18,2
G069;SS92a;2;3,259333333;9,7;18,2
G070;SS92a;2;1,999333333;9,7;18,2
G071;SS92a;2;1,424;9,7;18,2
G072;SS92a;2;2,599333333;9,7;18,2
G073;SS92a;2;1,157333333;9,7;18,2
G074;SS92a;2;1,542;9,7;18,2
G075;SS92a;2;1,822666667;9,7;18,2
G076;SS92a;2;2,158666667;9,7;18,2
G077;SS92a;2;3,352666667;9,7;18,2
G078;SS92a;2;2,488;9,7;18,2
G079;SS92a;2;1,932;9,7;18,2
G080;SS92a;2;2,605333333;9,7;18,2
G081;SS92a;2;2,966;9,7;18,2
G082;SS92a;2;2,088666667;9,7;18,2
G083;SS92a;2;2,064;9,7;18,2
G084;SS92a;2;1,214666667;9,7;18,2
G085;SS92a;2;4,39;9,7;18,2
G086;SS92a;2;3,564666667;9,7;18,2
G087;SS92a;2;2,992;9,7;18,2
G088;SS92a;2;2,932;9,7;18,2
G089;SS92a;2;3,822;9,7;18,2
G090;SS92a;2;1,399333333;9,7;18,2
G091;SS92a;2;3,213333333;9,7;18,2
G092;SS92a;2;2,196666667;9,7;18,2
G093;SS92a;2;2,346;9,7;18,2
G094;SS92a;2;3,517333333;9,7;18,2
G095;SS92a;2;1,631333333;9,7;18,2
G096;SS92a;2;1,163333333;9,7;18,2
G097;SS92a;2;1,508;9,7;18,2
G098;SS92a;2;1,486666667;9,7;18,2
G099;SS92a;2;2,793333333;9,7;18,2
G100;SS92a;2;2,705333333;9,7;18,2
G101;SS92a;2;1,719333333;9,7;18,2
G102;SS92a;2;2,496;9,7;18,2
G103;SS92a;2;2,624;9,7;18,2
G104;SS92a;2;3,624;9,7;18,2
G105;SS92a;2;1,812;9,7;18,2
G106;SS92a;2;3,428666667;9,7;18,2
G107;SS92a;2;2,116;9,7;18,2
G108;SS92a;2;2,977333333;9,7;18,2
G109;SS92a;2;2,466;9,7;18,2
G110;SS92a;2;2,262;9,7;18,2
G111;SS92a;2;0,818;9,7;18,2
G112;SS92a;2;1,797333333;9,7;18,2
G113;SS92a;2;1,156666667;9,7;18,2
G114;SS92a;2;1,489333333;9,7;18,2
G115;SS92a;2;2,93;9,7;18,2
G116;SS92a;2;2,244;9,7;18,2
G117;SS92a;2;2,199333333;9,7;18,2
G118;SS92a;2;0,600133333;9,7;18,2
G119;SS92a;2;2,055333333;9,7;18,2
G120;SS92a;2;1,460666667;9,7;18,2
G121;SS92a;2;4,204666667;9,7;18,2
G122;SS92a;2;1,721333333;9,7;18,2
G123;SS92a;2;3,060666667;9,7;18,2
G124;SS92a;2;1,756;9,7;18,2
G125;SS92a;2;2,361333333;9,7;18,2
G126;SS92a;2;0,310866667;9,7;18,2
G127;SS92a;2;3,685333333;9,7;18,2
G128;SS92a;2;1,969333333;9,7;18,2
G129;SS92a;2;4,592;9,7;18,2
G130;SS92a;2;2,916666667;9,7;18,2
G131;SS92a;2;2,342;9,7;18,2
G132;SS92a;2;2,061333333;9,7;18,2
G133;SS92a;2;0,838666667;9,7;18,2
G134;SS92a;2;1,492666667;9,7;18,2
G135;SS92a;2;3,927333333;9,7;18,2
G136;SS92a;2;1,472666667;9,7;18,2
G137;SS92a;2;2,284;9,7;18,2
G138;SS92a;2;1,898666667;9,7;18,2
G139;SS92a;2;1,804666667;9,7;18,2
G140;SS92a;2;1,641333333;9,7;18,2
G141;SS92a;2;2,396666667;9,7;18,2
G142;SS92a;2;3,946666667;9,7;18,2
G143;SS92a;2;1,728;9,7;18,2
G144;SS92a;2;3,751333333;9,7;18,2
G145;SS92a;2;2,832666667;9,7;18,2
G146;SS92a;2;2,207333333;9,7;18,2
G147;SS92a;2;1,896666667;9,7;18,2
G148;SS92a;2;1,967333333;9,7;18,2
G149;SS92a;2;2,921333333;9,7;18,2
G150;SS92a;2;1,147333333;9,7;18,2
G151;SS92a;2;2,311333333;9,7;18,2
G152;SS92a;2;3,765333333;9,7;18,2
G153;SS92a;2;1,297333333;9,7;18,2
G154;SS92a;2;2,762;9,7;18,2
G155;SS92a;2;3,567333333;9,7;18,2
G156;SS92a;2;3,966;9,7;18,2
G157;SS92a;2;3,082;9,7;18,2
G158;SS92a;2;2,301333333;9,7;18,2
G159;SS92a;2;3,189333333;9,7;18,2
G160;SS92a;2;3,821333333;9,7;18,2
G161;SS92a;2;3,833333333;9,7;18,2
G162;SS92a;2;4,297333333;9,7;18,2
G163;SS92a;2;2,473333333;9,7;18,2
G164;SS92a;2;2,209333333;9,7;18,2
G165;SS92a;2;2,107333333;9,7;18,2
G166;SS92a;2;3,645333333;9,7;18,2
G167;SS92a;2;3,505333333;9,7;18,2
G168;SS92a;2;2,958;9,7;18,2
G169;SS92a;2;1,968666667;9,7;18,2
G170;SS92a;2;2,16;9,7;18,2
G171;SS92a;2;1,755333333;9,7;18,2
G172;SS92a;2;1,406;9,7;18,2
G173;SS92a;2;1,941333333;9,7;18,2
G174;SS92a;2;1,194666667;9,7;18,2
G175;SS92a;2;2,321333333;9,7;18,2
G176;SS92a;2;3,662666667;9,7;18,2
G177;SS92a;2;2,938;9,7;18,2
G178;SS92a;2;3,336;9,7;18,2
G179;SS92a;2;1,126666667;9,7;18,2
G180;SS92a;2;1,114666667;9,7;18,2
G181;SS92a;2;2,106;9,7;18,2
G182;SS92a;2;2,126;9,7;18,2
G183;SS92a;2;1,640666667;9,7;18,2
G184;SS92a;2;1,781333333;9,7;18,2
G185;SS92a;2;3,006666667;9,7;18,2
G186;SS92a;2;5,359333333;9,7;18,2
G187;SS92a;2;2,760666667;9,7;18,2
G188;SS92a;2;2,008;9,7;18,2
G189;SS92a;2;1,866;9,7;18,2
G190;SS92a;2;2,605333333;9,7;18,2
G191;SS92a;2;2,509333333;9,7;18,2
G192;SS92a;2;3,872666667;9,7;18,2
G193;SS92a;2;2,309333333;9,7;18,2
G194;SS92a;2;2,296;9,7;18,2
G195;SS92a;2;3,224666667;9,7;18,2
G196;SS92a;2;2,140666667;9,7;18,2
G197;SS92a;2;2,278;9,7;18,2
G198;SS92a;2;5,144;9,7;18,2
G199;SS92a;2;2,329333333;9,7;18,2
G200;SS92a;2;2,760666667;9,7;18,2
G201;SS92a;2;2,320666667;9,7;18,2
G202;SS92a;2;1,866666667;9,7;18,2
G203;SS92a;2;1,916666667;9,7;18,2
G204;SS92a;2;2,952;9,7;18,2
G205;SS92a;2;2,658666667;9,7;18,2
G206;SS92a;2;1,948666667;9,7;18,2
G207;SS92a;2;1,859333333;9,7;18,2
G208;SS92a;2;2,069333333;9,7;18,2
G209;SS92a;2;2,925333333;9,7;18,2
G210;SS92a;2;1,68;9,7;18,2
G211;SS92a;2;0,956666667;9,7;18,2
G001;IS92a;2;4,48;10,7;18,93
G002;IS92a;2;4,877333333;10,7;18,93
G003;IS92a;2;4,532;10,7;18,93
G004;IS92a;2;3,692666667;10,7;18,93
G005;IS92a;2;5,028;10,7;18,93
G006;IS92a;2;3,959333333;10,7;18,93
G007;IS92a;2;4,517333333;10,7;18,93
G008;IS92a;2;2,558666667;10,7;18,93
G009;IS92a;2;3,096;10,7;18,93
G010;IS92a;2;4,072666667;10,7;18,93
G011;IS92a;2;3,592666667;10,7;18,93
G012;IS92a;2;4,174666667;10,7;18,93
G013;IS92a;2;4,702666667;10,7;18,93
G014;IS92a;2;3,342;10,7;18,93
G015;IS92a;2;4,093333333;10,7;18,93
G016;IS92a;2;3,702;10,7;18,93
G017;IS92a;2;2,52;10,7;18,93
G018;IS92a;2;3,364;10,7;18,93
G019;IS92a;2;6,116;10,7;18,93
G020;IS92a;2;4,441333333;10,7;18,93
G021;IS92a;2;2,893333333;10,7;18,93
G022;IS92a;2;3,906666667;10,7;18,93
G023;IS92a;2;4,240666667;10,7;18,93
G024;IS92a;2;3,930666667;10,7;18,93
G025;IS92a;2;5,627333333;10,7;18,93
G026;IS92a;2;4,499333333;10,7;18,93
G027;IS92a;2;3,913333333;10,7;18,93
G028;IS92a;2;6,72;10,7;18,93
G029;IS92a;2;2,868666667;10,7;18,93
G030;IS92a;2;3,771333333;10,7;18,93
G031;IS92a;2;3,926666667;10,7;18,93
G032;IS92a;2;4,966666667;10,7;18,93
G033;IS92a;2;3,910666667;10,7;18,93
G034;IS92a;2;5,103333333;10,7;18,93
G035;IS92a;2;3,184666667;10,7;18,93
G036;IS92a;2;4,294666667;10,7;18,93
G037;IS92a;2;4,493333333;10,7;18,93
G038;IS92a;2;3,008666667;10,7;18,93
G039;IS92a;2;4,556;10,7;18,93
G040;IS92a;2;3,976666667;10,7;18,93
G041;IS92a;2;2,678;10,7;18,93
G042;IS92a;2;6,786666667;10,7;18,93
G043;IS92a;2;5,005333333;10,7;18,93
G044;IS92a;2;4,290666667;10,7;18,93
G045;IS92a;2;6,074;10,7;18,93
G046;IS92a;2;3,332666667;10,7;18,93
G047;IS92a;2;3,2;10,7;18,93
G048;IS92a;2;4,63;10,7;18,93
G049;IS92a;2;4,296666667;10,7;18,93
G050;IS92a;2;5,798666667;10,7;18,93
G051;IS92a;2;5,247333333;10,7;18,93
G052;IS92a;2;4,899333333;10,7;18,93
G053;IS92a;2;4,006;10,7;18,93
G054;IS92a;2;3,214666667;10,7;18,93
G055;IS92a;2;4,862;10,7;18,93
G056;IS92a;2;4,887333333;10,7;18,93
G057;IS92a;2;4,372666667;10,7;18,93
G058;IS92a;2;3,380666667;10,7;18,93
G059;IS92a;2;4,226666667;10,7;18,93
G060;IS92a;2;4,017333333;10,7;18,93
G061;IS92a;2;4,916666667;10,7;18,93
G062;IS92a;2;6,130666667;10,7;18,93
G063;IS92a;2;3,786;10,7;18,93
G064;IS92a;2;4,860666667;10,7;18,93
G065;IS92a;2;4,819333333;10,7;18,93
G066;IS92a;2;4,348666667;10,7;18,93
G067;IS92a;2;5,93;10,7;18,93
G068;IS92a;2;3,981333333;10,7;18,93
G069;IS92a;2;5,456666667;10,7;18,93
G070;IS92a;2;4,242;10,7;18,93
G071;IS92a;2;3,816666667;10,7;18,93
G072;IS92a;2;4,487333333;10,7;18,93
G073;IS92a;2;2,926;10,7;18,93
G074;IS92a;2;4,296;10,7;18,93
G075;IS92a;2;4,537333333;10,7;18,93
G076;IS92a;2;2,897333333;10,7;18,93
G077;IS92a;2;5,137333333;10,7;18,93
G078;IS92a;2;4,216666667;10,7;18,93
G079;IS92a;2;4,244;10,7;18,93
G080;IS92a;2;4,206;10,7;18,93
G081;IS92a;2;4,033333333;10,7;18,93
G082;IS92a;2;5,385333333;10,7;18,93
G083;IS92a;2;3,595333333;10,7;18,93
G084;IS92a;2;5,405333333;10,7;18,93
G085;IS92a;2;5,954;10,7;18,93
G086;IS92a;2;3,982666667;10,7;18,93
G087;IS92a;2;3,319333333;10,7;18,93
G088;IS92a;2;4,378;10,7;18,93
G089;IS92a;2;3,799333333;10,7;18,93
G090;IS92a;2;3,001333333;10,7;18,93
G091;IS92a;2;5,136;10,7;18,93
G092;IS92a;2;3,812;10,7;18,93
G093;IS92a;2;3,732666667;10,7;18,93
G094;IS92a;2;4,727333333;10,7;18,93
G095;IS92a;2;3,006666667;10,7;18,93
G096;IS92a;2;3,02;10,7;18,93
G097;IS92a;2;4,236;10,7;18,93
G098;IS92a;2;4,295333333;10,7;18,93
G099;IS92a;2;3,550666667;10,7;18,93
G100;IS92a;2;4,343333333;10,7;18,93
G101;IS92a;2;4,341333333;10,7;18,93
G102;IS92a;2;4,938666667;10,7;18,93
G103;IS92a;2;4,606666667;10,7;18,93
G104;IS92a;2;3,503333333;10,7;18,93
G105;IS92a;2;4,918666667;10,7;18,93
G106;IS92a;2;6,134666667;10,7;18,93
G107;IS92a;2;4,653333333;10,7;18,93
G108;IS92a;2;4,431333333;10,7;18,93
G109;IS92a;2;5,718666667;10,7;18,93
G110;IS92a;2;5,344666667;10,7;18,93
G111;IS92a;2;2,695333333;10,7;18,93
G112;IS92a;2;2,826;10,7;18,93
G113;IS92a;2;3,009333333;10,7;18,93
G114;IS92a;2;4,35;10,7;18,93
G115;IS92a;2;5,179333333;10,7;18,93
G116;IS92a;2;5,438666667;10,7;18,93
G117;IS92a;2;5,358;10,7;18,93
G118;IS92a;2;2,166;10,7;18,93
G119;IS92a;2;2,510666667;10,7;18,93
G120;IS92a;2;4,068;10,7;18,93
G121;IS92a;2;4,881333333;10,7;18,93
G122;IS92a;2;5,053333333;10,7;18,93
G123;IS92a;2;6,127333333;10,7;18,93
G124;IS92a;2;2,748666667;10,7;18,93
G125;IS92a;2;3,452666667;10,7;18,93
G126;IS92a;2;2,180666667;10,7;18,93
G127;IS92a;2;4,689333333;10,7;18,93
G128;IS92a;2;3,833333333;10,7;18,93
G129;IS92a;2;4,774;10,7;18,93
G130;IS92a;2;5,314666667;10,7;18,93
G131;IS92a;2;4,154;10,7;18,93
G132;IS92a;2;4,148;10,7;18,93
G133;IS92a;2;2,259333333;10,7;18,93
G134;IS92a;2;3,392666667;10,7;18,93
G135;IS92a;2;5,520666667;10,7;18,93
G136;IS92a;2;3,028;10,7;18,93
G137;IS92a;2;4,010666667;10,7;18,93
G138;IS92a;2;3,896666667;10,7;18,93
G139;IS92a;2;3,672666667;10,7;18,93
G140;IS92a;2;2,741333333;10,7;18,93
G141;IS92a;2;3,096666667;10,7;18,93
G142;IS92a;2;5,237333333;10,7;18,93
G143;IS92a;2;2,714666667;10,7;18,93
G144;IS92a;2;5,336;10,7;18,93
G145;IS92a;2;4,629333333;10,7;18,93
G146;IS92a;2;5,442;10,7;18,93
G147;IS92a;2;3,856666667;10,7;18,93
G148;IS92a;2;3,782;10,7;18,93
G149;IS92a;2;3,235333333;10,7;18,93
G150;IS92a;2;4,290666667;10,7;18,93
G151;IS92a;2;5,245333333;10,7;18,93
G152;IS92a;2;3,854;10,7;18,93
G153;IS92a;2;4,272666667;10,7;18,93
G154;IS92a;2;5,796;10,7;18,93
G155;IS92a;2;3,713333333;10,7;18,93
G156;IS92a;2;4,565333333;10,7;18,93
G157;IS92a;2;4,125333333;10,7;18,93
G158;IS92a;2;4,061333333;10,7;18,93
G159;IS92a;2;4,488666667;10,7;18,93
G160;IS92a;2;5,16;10,7;18,93
G161;IS92a;2;5,769333333;10,7;18,93
G162;IS92a;2;4,068666667;10,7;18,93
G163;IS92a;2;4,220666667;10,7;18,93
G164;IS92a;2;5,051333333;10,7;18,93
G165;IS92a;2;3,866;10,7;18,93
G166;IS92a;2;5,003333333;10,7;18,93
G167;IS92a;2;3,437333333;10,7;18,93
G168;IS92a;2;4,629333333;10,7;18,93
G169;IS92a;2;5,606;10,7;18,93
G170;IS92a;2;4,558;10,7;18,93
G171;IS92a;2;3,547333333;10,7;18,93
G172;IS92a;2;6,551333333;10,7;18,93
G173;IS92a;2;3,750666667;10,7;18,93
G174;IS92a;2;2,976;10,7;18,93
G175;IS92a;2;3,369333333;10,7;18,93
G176;IS92a;2;3,892666667;10,7;18,93
G177;IS92a;2;5,436;10,7;18,93
G178;IS92a;2;4,687333333;10,7;18,93
G179;IS92a;2;3,768;10,7;18,93
G180;IS92a;2;3,554;10,7;18,93
G181;IS92a;2;3,180666667;10,7;18,93
G182;IS92a;2;3,354;10,7;18,93
G183;IS92a;2;2,435333333;10,7;18,93
G184;IS92a;2;4,632666667;10,7;18,93
G185;IS92a;2;3,940666667;10,7;18,93
G186;IS92a;2;6,636;10,7;18,93
G187;IS92a;2;5,614666667;10,7;18,93
G188;IS92a;2;4,056;10,7;18,93
G189;IS92a;2;4,249333333;10,7;18,93
G190;IS92a;2;4,636;10,7;18,93
G191;IS92a;2;2,996;10,7;18,93
G192;IS92a;2;6,628666667;10,7;18,93
G193;IS92a;2;4,172666667;10,7;18,93
G194;IS92a;2;5,774;10,7;18,93
G195;IS92a;2;5,279333333;10,7;18,93
G196;IS92a;2;4,224666667;10,7;18,93
G197;IS92a;2;4,773333333;10,7;18,93
G198;IS92a;2;5,526666667;10,7;18,93
G199;IS92a;2;3,182666667;10,7;18,93
G200;IS92a;2;6,065333333;10,7;18,93
G201;IS92a;2;3,949333333;10,7;18,93
G202;IS92a;2;4,34;10,7;18,93
G203;IS92a;2;2,929333333;10,7;18,93
G204;IS92a;2;3,504;10,7;18,93
G205;IS92a;2;2,987333333;10,7;18,93
G206;IS92a;2;4,200666667;10,7;18,93
G207;IS92a;2;3,730666667;10,7;18,93
G208;IS92a;2;3,402;10,7;18,93
G209;IS92a;2;5,063333333;10,7;18,93
G210;IS92a;2;5,278;10,7;18,93
G211;IS92a;2;3,19;10,7;18,93
G001;NS92a;3;8,4;11,58;17,28
G002;NS92a;3;7,62;11,58;17,28
G003;NS92a;3;7,68;11,58;17,28
G004;NS92a;3;5,112666667;11,58;17,28
G005;NS92a;3;5,964666667;11,58;17,28
G006;NS92a;3;7,626666667;11,58;17,28
G007;NS92a;3;7,293333333;11,58;17,28
G008;NS92a;3;4,730666667;11,58;17,28
G009;NS92a;3;8,846666667;11,58;17,28
G010;NS92a;3;7,42;11,58;17,28
G011;NS92a;3;6,62;11,58;17,28
G012;NS92a;3;6,826666667;11,58;17,28
G013;NS92a;3;6,008;11,58;17,28
G014;NS92a;3;7,213333333;11,58;17,28
G015;NS92a;3;5,624;11,58;17,28
G016;NS92a;3;7,62;11,58;17,28
G017;NS92a;3;5,399333333;11,58;17,28
G018;NS92a;3;7,306666667;11,58;17,28
G019;NS92a;3;10,01333333;11,58;17,28
G020;NS92a;3;7,76;11,58;17,28
G021;NS92a;3;5,052;11,58;17,28
G022;NS92a;3;7,14;11,58;17,28
G023;NS92a;3;7,086666667;11,58;17,28
G024;NS92a;3;7,18;11,58;17,28
G025;NS92a;3;8,86;11,58;17,28
G026;NS92a;3;6,624666667;11,58;17,28
G027;NS92a;3;8,406666667;11,58;17,28
G028;NS92a;3;8,266666667;11,58;17,28
G029;NS92a;3;5,732666667;11,58;17,28
G030;NS92a;3;8,38;11,58;17,28
G031;NS92a;3;7,106666667;11,58;17,28
G032;NS92a;3;8,62;11,58;17,28
G033;NS92a;3;7,413333333;11,58;17,28
G034;NS92a;3;6,8;11,58;17,28
G035;NS92a;3;4,917333333;11,58;17,28
G036;NS92a;3;6,434;11,58;17,28
G037;NS92a;3;8,873333333;11,58;17,28
G038;NS92a;3;6,444;11,58;17,28
G039;NS92a;3;7,52;11,58;17,28
G040;NS92a;3;6,229333333;11,58;17,28
G041;NS92a;3;3,64;11,58;17,28
G042;NS92a;3;8,62;11,58;17,28
G043;NS92a;3;8,013333333;11,58;17,28
G044;NS92a;3;6,84;11,58;17,28
G045;NS92a;3;6,813333333;11,58;17,28
G046;NS92a;3;5,591333333;11,58;17,28
G047;NS92a;3;8,9;11,58;17,28
G048;NS92a;3;8,16;11,58;17,28
G049;NS92a;3;7,033333333;11,58;17,28
G050;NS92a;3;7,906666667;11,58;17,28
G051;NS92a;3;7,713333333;11,58;17,28
G052;NS92a;3;7,4;11,58;17,28
G053;NS92a;3;5,123333333;11,58;17,28
G054;NS92a;3;7,946666667;11,58;17,28
G055;NS92a;3;10,14666667;11,58;17,28
G056;NS92a;3;7,773333333;11,58;17,28
G057;NS92a;3;7,526666667;11,58;17,28
G058;NS92a;3;7,64;11,58;17,28
G059;NS92a;3;6,409333333;11,58;17,28
G060;NS92a;3;5,699333333;11,58;17,28
G061;NS92a;3;9,526666667;11,58;17,28
G062;NS92a;3;7,693333333;11,58;17,28
G063;NS92a;3;6,506;11,58;17,28
G064;NS92a;3;6,452666667;11,58;17,28
G065;NS92a;3;7,526666667;11,58;17,28
G066;NS92a;3;7,646666667;11,58;17,28
G067;NS92a;3;8,66;11,58;17,28
G068;NS92a;3;9,273333333;11,58;17,28
G069;NS92a;3;8,233333333;11,58;17,28
G070;NS92a;3;6,483333333;11,58;17,28
G071;NS92a;3;6,26;11,58;17,28
G072;NS92a;3;7,766666667;11,58;17,28
G073;NS92a;3;5,916666667;11,58;17,28
G074;NS92a;3;6,7;11,58;17,28
G075;NS92a;3;7,12;11,58;17,28
G076;NS92a;3;4,879333333;11,58;17,28
G077;NS92a;3;7,206666667;11,58;17,28
G078;NS92a;3;8,366666667;11,58;17,28
G079;NS92a;3;5,783333333;11,58;17,28
G080;NS92a;3;5,566;11,58;17,28
G081;NS92a;3;7,72;11,58;17,28
G082;NS92a;3;8,433333333;11,58;17,28
G083;NS92a;3;6,324;11,58;17,28
G084;NS92a;3;5,537333333;11,58;17,28
G085;NS92a;3;7,64;11,58;17,28
G086;NS92a;3;8,24;11,58;17,28
G087;NS92a;3;7,12;11,58;17,28
G088;NS92a;3;7,44;11,58;17,28
G089;NS92a;3;6,72;11,58;17,28
G090;NS92a;3;5,485333333;11,58;17,28
G091;NS92a;3;9,48;11,58;17,28
G092;NS92a;3;8,28;11,58;17,28
G093;NS92a;3;6,232;11,58;17,28
G094;NS92a;3;8,406666667;11,58;17,28
G095;NS92a;3;5,878;11,58;17,28
G096;NS92a;3;7,56;11,58;17,28
G097;NS92a;3;7,633333333;11,58;17,28
G098;NS92a;3;6,349333333;11,58;17,28
G099;NS92a;3;7,673333333;11,58;17,28
G100;NS92a;3;7,7;11,58;17,28
G101;NS92a;3;5,539333333;11,58;17,28
G102;NS92a;3;6,012666667;11,58;17,28
G103;NS92a;3;9,633333333;11,58;17,28
G104;NS92a;3;8,46;11,58;17,28
G105;NS92a;3;8,973333333;11,58;17,28
G106;NS92a;3;8,466666667;11,58;17,28
G107;NS92a;3;6,376;11,58;17,28
G108;NS92a;3;6,13;11,58;17,28
G109;NS92a;3;7,233333333;11,58;17,28
G110;NS92a;3;8,18;11,58;17,28
G111;NS92a;3;5,952;11,58;17,28
G112;NS92a;3;3,892666667;11,58;17,28
G113;NS92a;3;5,411333333;11,58;17,28
G114;NS92a;3;5,192666667;11,58;17,28
G115;NS92a;3;6,92;11,58;17,28
G116;NS92a;3;6,620666667;11,58;17,28
G117;NS92a;3;8,1;11,58;17,28
G118;NS92a;3;3,554;11,58;17,28
G119;NS92a;3;5,694;11,58;17,28
G120;NS92a;3;8,546666667;11,58;17,28
G121;NS92a;3;7,973333333;11,58;17,28
G122;NS92a;3;7,78;11,58;17,28
G123;NS92a;3;8,533333333;11,58;17,28
G124;NS92a;3;7,013333333;11,58;17,28
G125;NS92a;3;8,933333333;11,58;17,28
G126;NS92a;3;6,584;11,58;17,28
G127;NS92a;3;6,194;11,58;17,28
G128;NS92a;3;4,46;11,58;17,28
G129;NS92a;3;7,36;11,58;17,28
G130;NS92a;3;9,426666667;11,58;17,28
G131;NS92a;3;6,394666667;11,58;17,28
G132;NS92a;3;6,132666667;11,58;17,28
G133;NS92a;3;4,407333333;11,58;17,28
G134;NS92a;3;6,065333333;11,58;17,28
G135;NS92a;3;8,393333333;11,58;17,28
G136;NS92a;3;7,94;11,58;17,28
G137;NS92a;3;8,473333333;11,58;17,28
G138;NS92a;3;5,824666667;11,58;17,28
G139;NS92a;3;4,648;11,58;17,28
G140;NS92a;3;3,990666667;11,58;17,28
G141;NS92a;3;4,790666667;11,58;17,28
G142;NS92a;3;7,346666667;11,58;17,28
G143;NS92a;3;7,12;11,58;17,28
G144;NS92a;3;6,492;11,58;17,28
G145;NS92a;3;8,726666667;11,58;17,28
G146;NS92a;3;7,613333333;11,58;17,28
G147;NS92a;3;7,406666667;11,58;17,28
G148;NS92a;3;6,16;11,58;17,28
G149;NS92a;3;6,196666667;11,58;17,28
G150;NS92a;3;8,28;11,58;17,28
G151;NS92a;3;6,032;11,58;17,28
G152;NS92a;3;7,166666667;11,58;17,28
G153;NS92a;3;6,554666667;11,58;17,28
