Genotype;Environ;Group;     yield;MINTF; RADG
G154;NS92a;3;7,506666667;11,58;17,28
G155;NS92a;3;5,738;11,58;17,28
G156;NS92a;3;6,68;11,58;17,28
G157;NS92a;3;5,341333333;11,58;17,28
G158;NS92a;3;6,24;11,58;17,28
G159;NS92a;3;8,733333333;11,58;17,28
G160;NS92a;3;9,533333333;11,58;17,28
G161;NS92a;3;7,933333333;11,58;17,28
G162;NS92a;3;6,523333333;11,58;17,28
G163;NS92a;3;6,446666667;11,58;17,28
G164;NS92a;3;7,673333333;11,58;17,28
G165;NS92a;3;8,286666667;11,58;17,28
G166;NS92a;3;7,833333333;11,58;17,28
G167;NS92a;3;5,923333333;11,58;17,28
G168;NS92a;3;8,826666667;11,58;17,28
G169;NS92a;3;7,026666667;11,58;17,28
G170;NS92a;3;7,813333333;11,58;17,28
G171;NS92a;3;5,380666667;11,58;17,28
G172;NS92a;3;7,906666667;11,58;17,28
G173;NS92a;3;5,826;11,58;17,28
G174;NS92a;3;6,05;11,58;17,28
G175;NS92a;3;5,509333333;11,58;17,28
G176;NS92a;3;4,82;11,58;17,28
G177;NS92a;3;7,68;11,58;17,28
G178;NS92a;3;6,426666667;11,58;17,28
G179;NS92a;3;6,612666667;11,58;17,28
G180;NS92a;3;3,887333333;11,58;17,28
G181;NS92a;3;7,4;11,58;17,28
G182;NS92a;3;6,02;11,58;17,28
G183;NS92a;3;6,532666667;11,58;17,28
G184;NS92a;3;5,852;11,58;17,28
G185;NS92a;3;4,938;11,58;17,28
G186;NS92a;3;8,913333333;11,58;17,28
G187;NS92a;3;6,483333333;11,58;17,28
G188;NS92a;3;6,853333333;11,58;17,28
G189;NS92a;3;6,78;11,58;17,28
G190;NS92a;3;7,053333333;11,58;17,28
G191;NS92a;3;6,266666667;11,58;17,28
G192;NS92a;3;9,566666667;11,58;17,28
G193;NS92a;3;5,926;11,58;17,28
G194;NS92a;3;8,74;11,58;17,28
G195;NS92a;3;8,213333333;11,58;17,28
G196;NS92a;3;6,497333333;11,58;17,28
G197;NS92a;3;6,35;11,58;17,28
G198;NS92a;3;7,94;11,58;17,28
G199;NS92a;3;5,494666667;11,58;17,28
G200;NS92a;3;8,013333333;11,58;17,28
G201;NS92a;3;8,766666667;11,58;17,28
G202;NS92a;3;7,253333333;11,58;17,28
G203;NS92a;3;4,744;11,58;17,28
G204;NS92a;3;7,413333333;11,58;17,28
G205;NS92a;3;7,193333333;11,58;17,28
G206;NS92a;3;5,816666667;11,58;17,28
G207;NS92a;3;4,673333333;11,58;17,28
G208;NS92a;3;6,147333333;11,58;17,28
G209;NS92a;3;6,415333333;11,58;17,28
G210;NS92a;3;6,786666667;11,58;17,28
G211;NS92a;3;6,68;11,58;17,28
G001;IS94a;2;2,248666667;11,38;28,73
G002;IS94a;2;4,020666667;11,38;28,73
G003;IS94a;2;2,280666667;11,38;28,73
G004;IS94a;2;1,387333333;11,38;28,73
G005;IS94a;2;3,019333333;11,38;28,73
G006;IS94a;2;2,146666667;11,38;28,73
G007;IS94a;2;2,237333333;11,38;28,73
G008;IS94a;2;0,959333333;11,38;28,73
G009;IS94a;2;1,758;11,38;28,73
G010;IS94a;2;3,376;11,38;28,73
G011;IS94a;2;2,406666667;11,38;28,73
G012;IS94a;2;1,900666667;11,38;28,73
G013;IS94a;2;3,956666667;11,38;28,73
G014;IS94a;2;4,412;11,38;28,73
G015;IS94a;2;1,526;11,38;28,73
G016;IS94a;2;1,868666667;11,38;28,73
G017;IS94a;2;1,975333333;11,38;28,73
G018;IS94a;2;1,674;11,38;28,73
G019;IS94a;2;4,852;11,38;28,73
G020;IS94a;2;2,21;11,38;28,73
G021;IS94a;2;1,470666667;11,38;28,73
G022;IS94a;2;2,305333333;11,38;28,73
G023;IS94a;2;2,159333333;11,38;28,73
G024;IS94a;2;2,276;11,38;28,73
G025;IS94a;2;2,149333333;11,38;28,73
G026;IS94a;2;2,54;11,38;28,73
G027;IS94a;2;2,912666667;11,38;28,73
G028;IS94a;2;5,118666667;11,38;28,73
G029;IS94a;2;1,897333333;11,38;28,73
G030;IS94a;2;2,916;11,38;28,73
G031;IS94a;2;2,848666667;11,38;28,73
G032;IS94a;2;3,921333333;11,38;28,73
G033;IS94a;2;1,602666667;11,38;28,73
G034;IS94a;2;4,512666667;11,38;28,73
G035;IS94a;2;2,692666667;11,38;28,73
G036;IS94a;2;2,238;11,38;28,73
G037;IS94a;2;3,171333333;11,38;28,73
G038;IS94a;2;2,026;11,38;28,73
G039;IS94a;2;5,658;11,38;28,73
G040;IS94a;2;2,829333333;11,38;28,73
G041;IS94a;2;1,863333333;11,38;28,73
G042;IS94a;2;3,527333333;11,38;28,73
G043;IS94a;2;2,742666667;11,38;28,73
G044;IS94a;2;1,993333333;11,38;28,73
G045;IS94a;2;5,322;11,38;28,73
G046;IS94a;2;1,668666667;11,38;28,73
G047;IS94a;2;2,279333333;11,38;28,73
G048;IS94a;2;2,19;11,38;28,73
G049;IS94a;2;2,883333333;11,38;28,73
G050;IS94a;2;3,264;11,38;28,73
G051;IS94a;2;2,936666667;11,38;28,73
G052;IS94a;2;3,008;11,38;28,73
G053;IS94a;2;2,038;11,38;28,73
G054;IS94a;2;2,854666667;11,38;28,73
G055;IS94a;2;4,287333333;11,38;28,73
G056;IS94a;2;4,513333333;11,38;28,73
G057;IS94a;2;3,404666667;11,38;28,73
G058;IS94a;2;2,117333333;11,38;28,73
G059;IS94a;2;2,095333333;11,38;28,73
G060;IS94a;2;3,377333333;11,38;28,73
G061;IS94a;2;3,074;11,38;28,73
G062;IS94a;2;4,106;11,38;28,73
G063;IS94a;2;2,857333333;11,38;28,73
G064;IS94a;2;1,844;11,38;28,73
G065;IS94a;2;3,566;11,38;28,73
G066;IS94a;2;3,440666667;11,38;28,73
G067;IS94a;2;5,647333333;11,38;28,73
G068;IS94a;2;4,626;11,38;28,73
G069;IS94a;2;4,544666667;11,38;28,73
G070;IS94a;2;1,682666667;11,38;28,73
G071;IS94a;2;1,398;11,38;28,73
G072;IS94a;2;2,794666667;11,38;28,73
G073;IS94a;2;0,2778;11,38;28,73
G074;IS94a;2;1,791333333;11,38;28,73
G075;IS94a;2;2,162666667;11,38;28,73
G076;IS94a;2;1,800666667;11,38;28,73
G077;IS94a;2;3,711333333;11,38;28,73
G078;IS94a;2;3,573333333;11,38;28,73
G079;IS94a;2;2,986666667;11,38;28,73
G080;IS94a;2;2,432666667;11,38;28,73
G081;IS94a;2;2,837333333;11,38;28,73
G082;IS94a;2;4,067333333;11,38;28,73
G083;IS94a;2;4,058;11,38;28,73
G084;IS94a;2;3,23;11,38;28,73
G085;IS94a;2;2,889333333;11,38;28,73
G086;IS94a;2;3,399333333;11,38;28,73
G087;IS94a;2;3,655333333;11,38;28,73
G088;IS94a;2;3,474666667;11,38;28,73
G089;IS94a;2;2,751333333;11,38;28,73
G090;IS94a;2;1,17;11,38;28,73
G091;IS94a;2;2,841333333;11,38;28,73
G092;IS94a;2;1,649333333;11,38;28,73
G093;IS94a;2;2,738666667;11,38;28,73
G094;IS94a;2;3,542;11,38;28,73
G095;IS94a;2;1,698666667;11,38;28,73
G096;IS94a;2;2,044;11,38;28,73
G097;IS94a;2;2,967333333;11,38;28,73
G098;IS94a;2;1,676;11,38;28,73
G099;IS94a;2;3,063333333;11,38;28,73
G100;IS94a;2;2,350666667;11,38;28,73
G101;IS94a;2;3,350666667;11,38;28,73
G102;IS94a;2;2,129333333;11,38;28,73
G103;IS94a;2;2,58;11,38;28,73
G104;IS94a;2;1,873333333;11,38;28,73
G105;IS94a;2;2,864666667;11,38;28,73
G106;IS94a;2;4,294666667;11,38;28,73
G107;IS94a;2;1,615333333;11,38;28,73
G108;IS94a;2;2,276666667;11,38;28,73
G109;IS94a;2;3,643333333;11,38;28,73
G110;IS94a;2;3,478666667;11,38;28,73
G111;IS94a;2;1,196;11,38;28,73
G112;IS94a;2;1,710666667;11,38;28,73
G113;IS94a;2;1,385333333;11,38;28,73
G114;IS94a;2;3,629333333;11,38;28,73
G115;IS94a;2;2,032666667;11,38;28,73
G116;IS94a;2;3,052;11,38;28,73
G117;IS94a;2;2,736666667;11,38;28,73
G118;IS94a;2;0,813333333;11,38;28,73
G119;IS94a;2;3,042;11,38;28,73
G120;IS94a;2;2,633333333;11,38;28,73
G121;IS94a;2;3,226;11,38;28,73
G122;IS94a;2;3,100666667;11,38;28,73
G123;IS94a;2;5,132666667;11,38;28,73
G124;IS94a;2;2,680666667;11,38;28,73
G125;IS94a;2;3,236666667;11,38;28,73
G126;IS94a;2;2,721333333;11,38;28,73
G127;IS94a;2;2,286666667;11,38;28,73
G128;IS94a;2;3,679333333;11,38;28,73
G129;IS94a;2;3,69;11,38;28,73
G130;IS94a;2;4,51;11,38;28,73
G131;IS94a;2;2,784;11,38;28,73
G132;IS94a;2;2,836;11,38;28,73
G133;IS94a;2;2,07;11,38;28,73
G134;IS94a;2;1,347333333;11,38;28,73
G135;IS94a;2;3,334;11,38;28,73
G136;IS94a;2;2,609333333;11,38;28,73
G137;IS94a;2;1,965333333;11,38;28,73
G138;IS94a;2;2,258;11,38;28,73
G139;IS94a;2;2,016;11,38;28,73
G140;IS94a;2;0,674;11,38;28,73
G141;IS94a;2;2,428666667;11,38;28,73
G142;IS94a;2;3,113333333;11,38;28,73
G143;IS94a;2;1,068;11,38;28,73
G144;IS94a;2;4,455333333;11,38;28,73
G145;IS94a;2;2,579333333;11,38;28,73
G146;IS94a;2;2,413333333;11,38;28,73
G147;IS94a;2;1,7;11,38;28,73
G148;IS94a;2;3,112666667;11,38;28,73
G149;IS94a;2;2,124;11,38;28,73
G150;IS94a;2;2,827333333;11,38;28,73
G151;IS94a;2;3,093333333;11,38;28,73
G152;IS94a;2;3,668;11,38;28,73
G153;IS94a;2;1,713333333;11,38;28,73
G154;IS94a;2;2,192666667;11,38;28,73
G155;IS94a;2;2,176666667;11,38;28,73
G156;IS94a;2;3,016666667;11,38;28,73
G157;IS94a;2;2,537333333;11,38;28,73
G158;IS94a;2;2,073333333;11,38;28,73
G159;IS94a;2;3,823333333;11,38;28,73
G160;IS94a;2;3,278666667;11,38;28,73
G161;IS94a;2;2,611333333;11,38;28,73
G162;IS94a;2;3,779333333;11,38;28,73
G163;IS94a;2;2,234666667;11,38;28,73
G164;IS94a;2;3,406666667;11,38;28,73
G165;IS94a;2;2,258;11,38;28,73
G166;IS94a;2;2,461333333;11,38;28,73
G167;IS94a;2;3,564666667;11,38;28,73
G168;IS94a;2;4,826666667;11,38;28,73
G169;IS94a;2;2,073333333;11,38;28,73
G170;IS94a;2;2,718;11,38;28,73
G171;IS94a;2;2,021333333;11,38;28,73
G172;IS94a;2;3,224;11,38;28,73
G173;IS94a;2;1,901333333;11,38;28,73
G174;IS94a;2;2,252;11,38;28,73
G175;IS94a;2;2,08;11,38;28,73
G176;IS94a;2;3,510666667;11,38;28,73
G177;IS94a;2;3,662666667;11,38;28,73
G178;IS94a;2;2,521333333;11,38;28,73
G179;IS94a;2;2,282;11,38;28,73
G180;IS94a;2;1,2;11,38;28,73
G181;IS94a;2;2,266666667;11,38;28,73
G182;IS94a;2;2,452666667;11,38;28,73
G183;IS94a;2;2,89;11,38;28,73
G184;IS94a;2;2,157333333;11,38;28,73
G185;IS94a;2;2,16;11,38;28,73
G186;IS94a;2;4,963333333;11,38;28,73
G187;IS94a;2;3,902;11,38;28,73
G188;IS94a;2;2,501333333;11,38;28,73
G189;IS94a;2;3,997333333;11,38;28,73
G190;IS94a;2;2,796;11,38;28,73
G191;IS94a;2;1,581333333;11,38;28,73
G192;IS94a;2;4,579333333;11,38;28,73
G193;IS94a;2;3,088;11,38;28,73
G194;IS94a;2;3,684;11,38;28,73
G195;IS94a;2;4,788666667;11,38;28,73
G196;IS94a;2;3,001333333;11,38;28,73
G197;IS94a;2;2,248666667;11,38;28,73
G198;IS94a;2;3,829333333;11,38;28,73
G199;IS94a;2;3,516;11,38;28,73
G200;IS94a;2;4,096;11,38;28,73
G201;IS94a;2;4,097333333;11,38;28,73
G202;IS94a;2;2,671333333;11,38;28,73
G203;IS94a;2;2,326;11,38;28,73
G204;IS94a;2;2,752;11,38;28,73
G205;IS94a;2;2,209333333;11,38;28,73
G206;IS94a;2;3,377333333;11,38;28,73
G207;IS94a;2;3,335333333;11,38;28,73
G208;IS94a;2;2,832;11,38;28,73
G209;IS94a;2;4,136666667;11,38;28,73
G210;IS94a;2;2,786666667;11,38;28,73
G211;IS94a;2;1,064;11,38;28,73
G001;SS94a;2;2,984;11,48;28,14
G002;SS94a;2;2,21;11,48;28,14
G003;SS94a;2;2,421333333;11,48;28,14
G004;SS94a;2;1,496;11,48;28,14
G005;SS94a;2;1,738;11,48;28,14
G006;SS94a;2;2,671333333;11,48;28,14
G007;SS94a;2;2,173333333;11,48;28,14
G008;SS94a;2;2,776666667;11,48;28,14
G009;SS94a;2;2,038;11,48;28,14
G010;SS94a;2;3,711333333;11,48;28,14
G011;SS94a;2;2,011333333;11,48;28,14
G012;SS94a;2;1,61;11,48;28,14
G013;SS94a;2;3,94;11,48;28,14
G014;SS94a;2;2,654;11,48;28,14
G015;SS94a;2;2,387333333;11,48;28,14
G016;SS94a;2;1,214666667;11,48;28,14
G017;SS94a;2;1,846666667;11,48;28,14
G018;SS94a;2;3,198666667;11,48;28,14
G019;SS94a;2;4,936;11,48;28,14
G020;SS94a;2;2,083333333;11,48;28,14
G021;SS94a;2;1,823333333;11,48;28,14
G022;SS94a;2;3,302;11,48;28,14
G023;SS94a;2;2,048666667;11,48;28,14
G024;SS94a;2;1,732;11,48;28,14
G025;SS94a;2;4,350666667;11,48;28,14
G026;SS94a;2;1,656;11,48;28,14
G027;SS94a;2;2,482666667;11,48;28,14
G028;SS94a;2;5,911333333;11,48;28,14
G029;SS94a;2;2,458;11,48;28,14
G030;SS94a;2;4,206;11,48;28,14
G031;SS94a;2;3,357333333;11,48;28,14
G032;SS94a;2;2,57;11,48;28,14
G033;SS94a;2;1,300666667;11,48;28,14
G034;SS94a;2;3,556;11,48;28,14
G035;SS94a;2;1,541333333;11,48;28,14
G036;SS94a;2;2,088666667;11,48;28,14
G037;SS94a;2;2,296;11,48;28,14
G038;SS94a;2;1,472;11,48;28,14
G039;SS94a;2;3,514;11,48;28,14
G040;SS94a;2;1,952;11,48;28,14
G041;SS94a;2;1,016666667;11,48;28,14
G042;SS94a;2;1,955333333;11,48;28,14
G043;SS94a;2;3,114;11,48;28,14
G044;SS94a;2;1,509333333;11,48;28,14
G045;SS94a;2;4,764666667;11,48;28,14
G046;SS94a;2;2,610666667;11,48;28,14
G047;SS94a;2;1,326;11,48;28,14
G048;SS94a;2;4,204666667;11,48;28,14
G049;SS94a;2;2,267333333;11,48;28,14
G050;SS94a;2;3,742666667;11,48;28,14
G051;SS94a;2;2,327333333;11,48;28,14
G052;SS94a;2;2,614;11,48;28,14
G053;SS94a;2;2,217333333;11,48;28,14
G054;SS94a;2;2,318666667;11,48;28,14
G055;SS94a;2;4,134666667;11,48;28,14
G056;SS94a;2;4,878;11,48;28,14
G057;SS94a;2;2,796;11,48;28,14
G058;SS94a;2;1,615333333;11,48;28,14
G059;SS94a;2;2,53;11,48;28,14
G060;SS94a;2;1,480666667;11,48;28,14
G061;SS94a;2;4,433333333;11,48;28,14
G062;SS94a;2;3,472;11,48;28,14
G063;SS94a;2;2,187333333;11,48;28,14
G064;SS94a;2;2,328;11,48;28,14
G065;SS94a;2;2,275333333;11,48;28,14
G066;SS94a;2;3,673333333;11,48;28,14
G067;SS94a;2;3,854666667;11,48;28,14
G068;SS94a;2;5,221333333;11,48;28,14
G069;SS94a;2;2,928;11,48;28,14
G070;SS94a;2;2,721333333;11,48;28,14
G071;SS94a;2;2,538666667;11,48;28,14
G072;SS94a;2;2,784666667;11,48;28,14
G073;SS94a;2;2,236;11,48;28,14
G074;SS94a;2;2,309333333;11,48;28,14
G075;SS94a;2;3,13;11,48;28,14
G076;SS94a;2;0,450133333;11,48;28,14
G077;SS94a;2;5,316;11,48;28,14
G078;SS94a;2;2,342;11,48;28,14
G079;SS94a;2;1,748;11,48;28,14
G080;SS94a;2;2,724666667;11,48;28,14
G081;SS94a;2;2,490666667;11,48;28,14
G082;SS94a;2;3,462666667;11,48;28,14
G083;SS94a;2;3,581333333;11,48;28,14
G084;SS94a;2;2,166;11,48;28,14
G085;SS94a;2;2,553333333;11,48;28,14
G086;SS94a;2;1,629333333;11,48;28,14
G087;SS94a;2;3,454666667;11,48;28,14
G088;SS94a;2;1,779333333;11,48;28,14
G089;SS94a;2;2,294;11,48;28,14
G090;SS94a;2;2,234;11,48;28,14
G091;SS94a;2;2,326666667;11,48;28,14
G092;SS94a;2;1,452;11,48;28,14
G093;SS94a;2;1,936666667;11,48;28,14
G094;SS94a;2;3,474666667;11,48;28,14
G095;SS94a;2;2,361333333;11,48;28,14
G096;SS94a;2;2,572666667;11,48;28,14
G097;SS94a;2;2,276666667;11,48;28,14
G098;SS94a;2;2,078666667;11,48;28,14
G099;SS94a;2;3,032;11,48;28,14
G100;SS94a;2;4,632666667;11,48;28,14
G101;SS94a;2;2,375333333;11,48;28,14
G102;SS94a;2;1,075333333;11,48;28,14
G103;SS94a;2;2,118666667;11,48;28,14
G104;SS94a;2;2,15;11,48;28,14
G105;SS94a;2;3,214;11,48;28,14
G106;SS94a;2;4,881333333;11,48;28,14
G107;SS94a;2;2,258;11,48;28,14
G108;SS94a;2;3,495333333;11,48;28,14
G109;SS94a;2;3,997333333;11,48;28,14
G110;SS94a;2;3,927333333;11,48;28,14
G111;SS94a;2;2,461333333;11,48;28,14
G112;SS94a;2;2,022;11,48;28,14
G113;SS94a;2;0,857333333;11,48;28,14
G114;SS94a;2;3,465333333;11,48;28,14
G115;SS94a;2;2,954666667;11,48;28,14
G116;SS94a;2;3,706;11,48;28,14
G117;SS94a;2;2,718;11,48;28,14
G118;SS94a;2;1,384;11,48;28,14
G119;SS94a;2;2,052666667;11,48;28,14
G120;SS94a;2;2,791333333;11,48;28,14
G121;SS94a;2;3,401333333;11,48;28,14
G122;SS94a;2;3,469333333;11,48;28,14
G123;SS94a;2;5,199333333;11,48;28,14
G124;SS94a;2;2,72;11,48;28,14
G125;SS94a;2;2,344;11,48;28,14
G126;SS94a;2;1,604666667;11,48;28,14
G127;SS94a;2;4,194666667;11,48;28,14
G128;SS94a;2;2,165333333;11,48;28,14
G129;SS94a;2;3,46;11,48;28,14
G130;SS94a;2;3,76;11,48;28,14
G131;SS94a;2;4,062;11,48;28,14
G132;SS94a;2;3,062;11,48;28,14
G133;SS94a;2;1,302666667;11,48;28,14
G134;SS94a;2;2,508;11,48;28,14
G135;SS94a;2;3,648;11,48;28,14
G136;SS94a;2;2,892;11,48;28,14
G137;SS94a;2;2,666666667;11,48;28,14
G138;SS94a;2;2,415333333;11,48;28,14
G139;SS94a;2;1,724666667;11,48;28,14
G140;SS94a;2;1,957333333;11,48;28,14
G141;SS94a;2;3,189333333;11,48;28,14
G142;SS94a;2;2,979333333;11,48;28,14
G143;SS94a;2;1,244;11,48;28,14
G144;SS94a;2;3,773333333;11,48;28,14
G145;SS94a;2;1,568;11,48;28,14
G146;SS94a;2;3,471333333;11,48;28,14
G147;SS94a;2;1,434666667;11,48;28,14
G148;SS94a;2;1,258666667;11,48;28,14
G149;SS94a;2;2,312666667;11,48;28,14
G150;SS94a;2;1,196666667;11,48;28,14
G151;SS94a;2;3,226666667;11,48;28,14
G152;SS94a;2;3,978;11,48;28,14
G153;SS94a;2;2,136666667;11,48;28,14
G154;SS94a;2;3,766;11,48;28,14
G155;SS94a;2;3,742666667;11,48;28,14
G156;SS94a;2;3,380666667;11,48;28,14
G157;SS94a;2;1,904;11,48;28,14
G158;SS94a;2;3,615333333;11,48;28,14
G159;SS94a;2;3,894666667;11,48;28,14
G160;SS94a;2;4,446666667;11,48;28,14
G161;SS94a;2;4,184666667;11,48;28,14
G162;SS94a;2;3,808666667;11,48;28,14
G163;SS94a;2;2,768;11,48;28,14
G164;SS94a;2;2,884;11,48;28,14
G165;SS94a;2;3,054;11,48;28,14
G166;SS94a;2;3,735333333;11,48;28,14
G167;SS94a;2;2,786;11,48;28,14
G168;SS94a;2;4,218;11,48;28,14
G169;SS94a;2;1,197333333;11,48;28,14
G170;SS94a;2;2,58;11,48;28,14
G171;SS94a;2;2,112666667;11,48;28,14
G172;SS94a;2;3,818666667;11,48;28,14
G173;SS94a;2;1,572666667;11,48;28,14
G174;SS94a;2;1,003333333;11,48;28,14
G175;SS94a;2;2,658;11,48;28,14
G176;SS94a;2;3,618;11,48;28,14
G177;SS94a;2;2,405333333;11,48;28,14
G178;SS94a;2;2,158666667;11,48;28,14
G179;SS94a;2;1,624;11,48;28,14
G180;SS94a;2;1,481333333;11,48;28,14
G181;SS94a;2;3,222;11,48;28,14
G182;SS94a;2;4,101333333;11,48;28,14
G183;SS94a;2;2,96;11,48;28,14
G184;SS94a;2;3,213333333;11,48;28,14
G185;SS94a;2;2,16;11,48;28,14
G186;SS94a;2;3,952666667;11,48;28,14
G187;SS94a;2;3,878;11,48;28,14
G188;SS94a;2;2,062;11,48;28,14
G189;SS94a;2;2,554666667;11,48;28,14
G190;SS94a;2;2,702666667;11,48;28,14
G191;SS94a;2;1,316;11,48;28,14
G192;SS94a;2;4,26;11,48;28,14
G193;SS94a;2;3,404666667;11,48;28,14
G194;SS94a;2;3,082;11,48;28,14
G195;SS94a;2;3,304666667;11,48;28,14
G196;SS94a;2;2,393333333;11,48;28,14
G197;SS94a;2;2,256;11,48;28,14
G198;SS94a;2;1,750666667;11,48;28,14
G199;SS94a;2;1,820666667;11,48;28,14
G200;SS94a;2;4,598666667;11,48;28,14
G201;SS94a;2;2,825333333;11,48;28,14
G202;SS94a;2;2,874;11,48;28,14
G203;SS94a;2;2,522666667;11,48;28,14
G204;SS94a;2;3,061333333;11,48;28,14
G205;SS94a;2;2,136;11,48;28,14
G206;SS94a;2;4,796666667;11,48;28,14
G207;SS94a;2;2,978;11,48;28,14
G208;SS94a;2;4;11,48;28,14
G209;SS94a;2;2,912;11,48;28,14
G210;SS94a;2;2,764;11,48;28,14
G211;SS94a;2;1,526;11,48;28,14
G001;LN96a;1;0,966666667;15,72;18,19
G002;LN96a;1;0,586666667;15,72;18,19
G003;LN96a;1;1,14;15,72;18,19
G004;LN96a;1;0,733333333;15,72;18,19
G005;LN96a;1;1,106666667;15,72;18,19
G006;LN96a;1;1,673333333;15,72;18,19
G007;LN96a;1;2,333333333;15,72;18,19
G008;LN96a;1;1,42;15,72;18,19
G009;LN96a;1;1,293333333;15,72;18,19
G010;LN96a;1;1;15,72;18,19
G011;LN96a;1;1,26;15,72;18,19
G012;LN96a;1;1,446666667;15,72;18,19
G013;LN96a;1;0,8;15,72;18,19
G014;LN96a;1;1,88;15,72;18,19
G015;LN96a;1;0,566666667;15,72;18,19
G016;LN96a;1;0,82;15,72;18,19
G017;LN96a;1;0,54;15,72;18,19
G018;LN96a;1;0,926666667;15,72;18,19
G019;LN96a;1;3,133333333;15,72;18,19
G020;LN96a;1;1,826666667;15,72;18,19
G021;LN96a;1;1,16;15,72;18,19
G022;LN96a;1;1,206666667;15,72;18,19
G023;LN96a;1;1,673333333;15,72;18,19
G024;LN96a;1;1,3;15,72;18,19
G025;LN96a;1;1,38;15,72;18,19
G026;LN96a;1;1,7;15,72;18,19
G027;LN96a;1;1,08;15,72;18,19
G028;LN96a;1;1,12;15,72;18,19
G029;LN96a;1;1,813333333;15,72;18,19
G030;LN96a;1;1,506666667;15,72;18,19
G031;LN96a;1;1,133333333;15,72;18,19
G032;LN96a;1;2,02;15,72;18,19
G033;LN96a;1;1,286666667;15,72;18,19
G034;LN96a;1;1,58;15,72;18,19
G035;LN96a;1;1,86;15,72;18,19
G036;LN96a;1;1,433333333;15,72;18,19
G037;LN96a;1;0,66;15,72;18,19
G038;LN96a;1;1,08;15,72;18,19
G039;LN96a;1;1,12;15,72;18,19
G040;LN96a;1;0,746666667;15,72;18,19
G041;LN96a;1;0,853333333;15,72;18,19
G042;LN96a;1;0,68;15,72;18,19
G043;LN96a;1;1,353333333;15,72;18,19
G044;LN96a;1;0,826666667;15,72;18,19
G045;LN96a;1;1,88;15,72;18,19
G046;LN96a;1;1,193333333;15,72;18,19
G047;LN96a;1;1,06;15,72;18,19
G048;LN96a;1;1,16;15,72;18,19
G049;LN96a;1;1,093333333;15,72;18,19
G050;LN96a;1;0,986666667;15,72;18,19
G051;LN96a;1;1,226666667;15,72;18,19
G052;LN96a;1;1,006666667;15,72;18,19
G053;LN96a;1;1,073333333;15,72;18,19
G054;LN96a;1;1,486666667;15,72;18,19
G055;LN96a;1;1,933333333;15,72;18,19
G056;LN96a;1;1,893333333;15,72;18,19
G057;LN96a;1;0,7;15,72;18,19
G058;LN96a;1;1,046666667;15,72;18,19
G059;LN96a;1;1,04;15,72;18,19
G060;LN96a;1;1,033333333;15,72;18,19
G061;LN96a;1;1,466666667;15,72;18,19
G062;LN96a;1;0,786666667;15,72;18,19
G063;LN96a;1;1,193333333;15,72;18,19
G064;LN96a;1;1,153333333;15,72;18,19
G065;LN96a;1;1,1;15,72;18,19
G066;LN96a;1;1,346666667;15,72;18,19
G067;LN96a;1;2,233333333;15,72;18,19
G068;LN96a;1;2,206666667;15,72;18,19
G069;LN96a;1;1,333333333;15,72;18,19
G070;LN96a;1;0,946666667;15,72;18,19
G071;LN96a;1;0,706666667;15,72;18,19
G072;LN96a;1;1,973333333;15,72;18,19
G073;LN96a;1;0,946666667;15,72;18,19
G074;LN96a;1;0,946666667;15,72;18,19
G075;LN96a;1;1,313333333;15,72;18,19
